"ID","Set","Category","Card Type","Level","Suggested Mode","Depth","Prompt","Design Treatment","Facilitator Note","Rationale"
"CON-09","Base Deck","Connection","Question","Level 1","Friends","Medium","What is a friendship you are grateful for right now?","Muted Teal","Suitable for early playtesting.","Positive relational reflection."
"CON-10","Base Deck","Connection","Question","Level 1","Deep Dive","High","What is a friendship you still think about?","Muted Teal","Best after trust has warmed up; passing is always allowed.","Allows grief, nostalgia, or warmth."
"CON-11","Base Deck","Connection","Question","Level 2","Deep Dive","High","What does trust feel like in your body?","Muted Teal","Best after trust has warmed up; passing is always allowed.","Somatic but accessible."
"CON-12","Base Deck","Connection","Question","Level 2","All","High","What makes you feel safe enough to be honest?","Muted Teal","Best after trust has warmed up; passing is always allowed.","Names conditions for depth."
"CON-13","Base Deck","Connection","Question","Level 2","Teams","Medium","What is something you admire in people that you are working on yourself?","Muted Teal","Suitable for early playtesting.","Humility and aspiration."
"CON-14","Base Deck","Connection","Question","Level 2","Family","High","Who taught you how to love, directly or indirectly?","Muted Teal","Best after trust has warmed up; passing is always allowed.","Big emotional storytelling."
"CON-15","Base Deck","Connection","Question","Level 2","All","High","What is a boundary you are proud of learning?","Muted Teal","Best after trust has warmed up; passing is always allowed.","Healthy growth topic."
"CON-16","Base Deck","Connection","Question","Level 2","Deep Dive","High","What is something you wish you had been thanked for?","Muted Teal","Best after trust has warmed up; passing is always allowed.","Recognition and unseen labor."
"CON-17","Base Deck","Connection","Question","Level 2","All","Medium","When do you feel easiest to be around?","Muted Teal","Suitable for early playtesting.","Self-awareness and social rhythms."
"CON-18","Base Deck","Connection","Question","Level 2","Deep Dive","High","When do you become hardest to reach?","Muted Teal","Best after trust has warmed up; passing is always allowed.","Gentle accountability."
"CON-19","Base Deck","Connection","Question","Level 2","Family","Medium","What is a memory that still makes you feel connected to someone?","Muted Teal","Suitable for early playtesting.","Story-forward connection."
"CON-20","Base Deck","Connection","Question","Level 2","All","Medium","What is something small someone did that stayed with you?","Muted Teal","Suitable for early playtesting.","Highlights micro-kindness."
"CON-21","Base Deck","Connection","Question","Level 3","Couples","High","What does a good apology sound like to you?","Muted Teal","Best after trust has warmed up; passing is always allowed.","Conflict literacy."
"CON-22","Base Deck","Connection","Question","Level 3","All","Medium","What do you hope people feel after spending time with you?","Muted Teal","Suitable for early playtesting.","Identity and intention."
"CON-23","Base Deck","Connection","Question","Level 3","Deep Dive","High","What is a part of your personality you protect carefully?","Muted Teal","Best after trust has warmed up; passing is always allowed.","Vulnerability with boundaries."
"CON-24","Base Deck","Connection","Question","Level 3","All","Medium","What is something you have outgrown socially?","Muted Teal","Suitable for early playtesting.","Maturity and changing needs."
"CON-25","Base Deck","Connection","Question","Level 3","Strangers","Medium","What kind of conversation makes you lose track of time?","Muted Teal","Suitable for early playtesting.","Natural segue into shared interests."
"CON-26","Base Deck","Connection","Question","Level 3","Deep Dive","High","What is one way loneliness has shaped you?","Muted Teal","Best after trust has warmed up; passing is always allowed.","Directly tied to mission."
"CON-27","Base Deck","Connection","Question","Level 3","All","Medium","What is one way connection has surprised you?","Muted Teal","Suitable for early playtesting.","Balances the loneliness theme."
"CON-28","Base Deck","Connection","Question","Level 3","All","High","What do you need more of from your people this season?","Muted Teal","Best after trust has warmed up; passing is always allowed.","Timely and relational."
"CON-29","Base Deck","Connection","Question","Level 3","Groups","Medium","What is one thing you want to understand better about someone here?","Muted Teal","Suitable for early playtesting.","Promotes direct curiosity."
"CON-30","Base Deck","Connection","Question","Level 3","Deep Dive","High","What would feeling closer look like tonight?","Muted Teal","Best after trust has warmed up; passing is always allowed.","Useful end-of-round intimacy check."
"REF-01","Base Deck","Reflection","Question","Level 1","Deep Dive","High","Describe a moment you felt misunderstood.","Clay / Charcoal","Best after trust has warmed up; passing is always allowed.","Core self-insight prompt."
"REF-02","Base Deck","Reflection","Question","Level 1","Deep Dive","High","What is something you still need to heal from?","Clay / Charcoal","Best after trust has warmed up; passing is always allowed.","High-depth card with consent needed."
"REF-03","Base Deck","Reflection","Question","Level 1","All","High","What changed you more than you expected?","Clay / Charcoal","Best after trust has warmed up; passing is always allowed.","Strong story prompt."
"REF-04","Base Deck","Reflection","Question","Level 1","Deep Dive","High","What is a fear you still carry?","Clay / Charcoal","Best after trust has warmed up; passing is always allowed.","Classic reflective depth."
"REF-05","Base Deck","Reflection","Question","Level 1","All","Medium","When was your last moment of true peace?","Clay / Charcoal","Suitable for early playtesting.","Soft and image-rich."
"REF-06","Base Deck","Reflection","Question","Level 1","Deep Dive","High","What would disappoint your younger self, and what would they understand?","Clay / Charcoal","Best after trust has warmed up; passing is always allowed.","Nuanced growth question."
"REF-07","Base Deck","Reflection","Question","Level 1","All","High","What part of yourself are you trying to be kinder to?","Clay / Charcoal","Best after trust has warmed up; passing is always allowed.","Self-compassion focus."
"REF-08","Base Deck","Reflection","Question","Level 1","Deep Dive","High","What do you miss about who you used to be?","Clay / Charcoal","Best after trust has warmed up; passing is always allowed.","Allows grief without prescribing it."
"REF-09","Base Deck","Reflection","Question","Level 1","All","Medium","What do you not miss about who you used to be?","Clay / Charcoal","Suitable for early playtesting.","Empowering reflection."
"REF-10","Base Deck","Reflection","Question","Level 1","Deep Dive","High","What is a lie you once believed about yourself?","Clay / Charcoal","Best after trust has warmed up; passing is always allowed.","Identity repair."
"REF-11","Base Deck","Reflection","Question","Level 2","All","Medium","What is something you are learning not to chase?","Clay / Charcoal","Suitable for early playtesting.","Modern and reflective."
"REF-12","Base Deck","Reflection","Question","Level 2","All","Medium","What is something you are learning to let be enough?","Clay / Charcoal","Suitable for early playtesting.","Gentle values prompt."
"REF-13","Base Deck","Reflection","Question","Level 2","Deep Dive","High","What emotion do you find hardest to admit?","Clay / Charcoal","Best after trust has warmed up; passing is always allowed.","Builds emotional vocabulary."
"REF-14","Base Deck","Reflection","Question","Level 2","All","Medium","What emotion visits you most often lately?","Clay / Charcoal","Suitable for early playtesting.","Current-state reflection."
"REF-15","Base Deck","Reflection","Question","Level 2","Deep Dive","High","What do you do when you feel left out?","Clay / Charcoal","Best after trust has warmed up; passing is always allowed.","Mission-aligned and useful."
"REF-16","Base Deck","Reflection","Question","Level 2","All","Medium","What do you wish people understood about your quiet moments?","Clay / Charcoal","Suitable for early playtesting.","Introversion/withdrawal nuance."
"REF-17","Base Deck","Reflection","Question","Level 2","Deep Dive","High","What are you proud of surviving quietly?","Clay / Charcoal","Best after trust has warmed up; passing is always allowed.","Recognition without requiring details."
"REF-18","Base Deck","Reflection","Question","Level 2","Teams","Medium","What is a version of success you are rethinking?","Clay / Charcoal","Suitable for early playtesting.","Good for personal or work contexts."
"REF-19","Base Deck","Reflection","Question","Level 2","All","Medium","What is one expectation you are ready to release?","Clay / Charcoal","Suitable for early playtesting.","Growth-oriented."
"REF-20","Base Deck","Reflection","Question","Level 2","Deep Dive","High","What is one thing your body has been trying to tell you?","Clay / Charcoal","Best after trust has warmed up; passing is always allowed.","Somatic reflection, non-clinical."
"REF-21","Base Deck","Reflection","Question","Level 3","Family","High","What did you need more of growing up?","Clay / Charcoal","Best after trust has warmed up; passing is always allowed.","Deep family/care prompt."
"REF-22","Base Deck","Reflection","Question","Level 3","Family","Medium","What did you get growing up that still helps you now?","Clay / Charcoal","Suitable for early playtesting.","Balances deficit with strength."
"REF-23","Base Deck","Reflection","Question","Level 3","Deep Dive","High","What is a memory you avoid, and what does it ask of you?","Clay / Charcoal","Best after trust has warmed up; passing is always allowed.","Intense; for trusted play."
"REF-24","Base Deck","Reflection","Question","Level 3","All","High","What is a dream you changed without telling many people?","Clay / Charcoal","Best after trust has warmed up; passing is always allowed.","Invites identity transition stories."
"REF-25","Base Deck","Reflection","Question","Level 3","Deep Dive","High","What part of your life feels most unfinished?","Clay / Charcoal","Best after trust has warmed up; passing is always allowed.","Open, existential reflection."
"REF-26","Base Deck","Reflection","Question","Level 3","All","Medium","What part of your life feels more complete than before?","Clay / Charcoal","Suitable for early playtesting.","Hopeful counterweight."
"REF-27","Base Deck","Reflection","Question","Level 3","Deep Dive","High","What do you forgive yourself for a little more now?","Clay / Charcoal","Best after trust has warmed up; passing is always allowed.","Soft repair."
"REF-28","Base Deck","Reflection","Question","Level 3","Deep Dive","High","What are you still waiting to hear from someone?","Clay / Charcoal","Best after trust has warmed up; passing is always allowed.","Powerful, optional vulnerability."
"REF-29","Base Deck","Reflection","Question","Level 3","All","High","What is something you can finally name?","Clay / Charcoal","Best after trust has warmed up; passing is always allowed.","Invites insight and language."
"REF-30","Base Deck","Reflection","Question","Level 3","All","Medium","What would your future self thank you for protecting?","Clay / Charcoal","Suitable for early playtesting.","Forward-looking self-care."
"CHA-01","Base Deck","Challenge","Question","Level 1","Deep Dive","High","Share something honest you usually soften for other people.","Sunset Coral","Best after trust has warmed up; passing is always allowed.","Brave but not reckless."
"CHA-02","Base Deck","Challenge","Question","Level 1","Groups","Medium","Tell the group one compliment you have been holding back.","Sunset Coral","Suitable for early playtesting.","Creates warmth in-room."
"CHA-03","Base Deck","Challenge","Question","Level 1","All","Medium","Ask someone here a follow-up question you genuinely care about.","Sunset Coral","Suitable for early playtesting.","Teaches deeper listening."
"CHA-04","Base Deck","Challenge","Question","Level 1","Speed","Low","Share an embarrassing but funny story.","Sunset Coral","Suitable for early playtesting.","Energy and levity."
"CHA-05","Base Deck","Challenge","Question","Level 1","Groups","Medium","Give someone else the card you think they should answer.","Sunset Coral","Suitable for early playtesting.","Interactive dynamic."
"CHA-06","Base Deck","Challenge","Question","Level 1","Groups","Medium","Say one thing you are grateful for about this room.","Sunset Coral","Suitable for early playtesting.","Grounds shared experience."
"CHA-07","Base Deck","Challenge","Question","Level 1","Groups","Medium","Pick one person and ask what they want to be known for.","Sunset Coral","Suitable for early playtesting.","Direct, affirming question."
"CHA-08","Base Deck","Challenge","Question","Level 1","Speed","Low","Answer your card in exactly seven words.","Sunset Coral","Suitable for early playtesting.","Playful constraint."
"CHA-09","Base Deck","Challenge","Question","Level 1","Groups","Medium","Let another player choose whether you answer lightly or deeply.","Sunset Coral","Suitable for early playtesting.","Adds playful agency."
"CHA-10","Base Deck","Challenge","Question","Level 1","Deep Dive","High","Tell the truth, then tell the gentler version you usually use.","Sunset Coral","Best after trust has warmed up; passing is always allowed.","Explores social masking."
"CHA-11","Base Deck","Challenge","Question","Level 2","Groups","Medium","Give a two-sentence toast to someone here.","Sunset Coral","Suitable for early playtesting.","Affectionate performance."
"CHA-12","Base Deck","Challenge","Question","Level 2","Groups","Medium","Ask the person opposite you what they want more of this year.","Sunset Coral","Suitable for early playtesting.","Easy direct connection."
"CHA-13","Base Deck","Challenge","Question","Level 2","All","High","Name something you are avoiding, without explaining it.","Sunset Coral","Best after trust has warmed up; passing is always allowed.","Brave but bounded."
"CHA-14","Base Deck","Challenge","Question","Level 2","Deep Dive","High","Share a sentence you wish someone had said to you earlier.","Sunset Coral","Best after trust has warmed up; passing is always allowed.","Emotional but concise."
"CHA-15","Base Deck","Challenge","Question","Level 2","Groups","Medium","Let the group ask you one yes-or-no question.","Sunset Coral","Suitable for early playtesting.","Interactive and safe."
"CHA-16","Base Deck","Challenge","Question","Level 2","Groups","Medium","Choose someone to answer: what do you think I care about?","Sunset Coral","Suitable for early playtesting.","Invites being perceived."
"CHA-17","Base Deck","Challenge","Question","Level 2","Deep Dive","High","Say one thing you want to be brave enough to ask for.","Sunset Coral","Best after trust has warmed up; passing is always allowed.","Vulnerability plus desire."
"CHA-18","Base Deck","Challenge","Question","Level 2","Groups","Low","Trade cards with someone whose energy you are curious about.","Sunset Coral","Suitable for early playtesting.","Light movement and curiosity."
"CHA-19","Base Deck","Challenge","Question","Level 2","Deep Dive","High","Answer as your past self, then as your current self.","Sunset Coral","Best after trust has warmed up; passing is always allowed.","Creative reflection."
"CHA-20","Base Deck","Challenge","Question","Level 2","Groups","Low","Ask the group: what is a small joy I should try?","Sunset Coral","Suitable for early playtesting.","Community-generated care."
"CHA-21","Base Deck","Challenge","Question","Level 3","All","Medium","Give advice to the person you were one year ago.","Sunset Coral","Suitable for early playtesting.","Reflective performance."
"CHA-22","Base Deck","Challenge","Question","Level 3","All","Medium","Give advice to the person you will be one year from now.","Sunset Coral","Suitable for early playtesting.","Forward-looking challenge."
"CHA-23","Base Deck","Challenge","Question","Level 3","Deep Dive","High","Share one thing you are ready to stop pretending about.","Sunset Coral","Best after trust has warmed up; passing is always allowed.","Bold identity card."
"CHA-24","Base Deck","Challenge","Question","Level 3","Groups","High","Pick someone and say what you hope they remember from tonight.","Sunset Coral","Best after trust has warmed up; passing is always allowed.","Strong closing moment."
"CHA-25","Base Deck","Challenge","Question","Level 3","Deep Dive","High","Ask someone to repeat back what they heard in your answer.","Sunset Coral","Best after trust has warmed up; passing is always allowed.","Builds active listening."
"CHA-26","Base Deck","Challenge","Question","Level 3","Family","Low","Let the youngest person choose the next category.","Sunset Coral","Suitable for early playtesting.","Age-bridging group mechanic."
"CHA-27","Base Deck","Challenge","Question","Level 3","Family","Low","Let the oldest person choose who answers next.","Sunset Coral","Suitable for early playtesting.","Age-bridging group mechanic."
"CHA-28","Base Deck","Challenge","Question","Level 3","Speed","Low","Answer without using the words fine, busy, or tired.","Sunset Coral","Suitable for early playtesting.","Breaks default social scripts."
"CHA-29","Base Deck","Challenge","Question","Level 3","Deep Dive","High","Invite someone to challenge your first answer with one follow-up.","Sunset Coral","Best after trust has warmed up; passing is always allowed.","Encourages depth with permission."
"CHA-30","Base Deck","Challenge","Question","Level 3","Deep Dive","High","Close your answer with: what I need now is...","Sunset Coral","Best after trust has warmed up; passing is always allowed.","Turns reflection into a clear need."
"WIL-01","Base Deck","Wildcard","Wildcard","Level 1","Groups","Low","Everyone answers this card in one sentence.","Charcoal / Cream","Suitable for early playtesting.","Quickly includes the whole table."
"WIL-02","Base Deck","Wildcard","Wildcard","Level 1","Groups","Low","Swap seats with someone you know least about.","Charcoal / Cream","Suitable for early playtesting.","Shifts group dynamics gently."
"WIL-03","Base Deck","Wildcard","Wildcard","Level 1","Groups","Medium","Ask another player to answer your current card.","Charcoal / Cream","Suitable for early playtesting.","Creates perspective and choice."
"WIL-04","Base Deck","Wildcard","Wildcard","Level 1","Groups","Medium","Pick one person to ask you any question from the deck.","Charcoal / Cream","Suitable for early playtesting.","Adds player agency and surprise."
"WIL-05","Base Deck","Wildcard","Wildcard","Level 1","Groups","Low","Trade your current card with the person to your left.","Charcoal / Cream","Suitable for early playtesting.","Keeps the room playful."
"WIL-06","Base Deck","Wildcard","Wildcard","Level 1","All","Low","Pause for ten seconds before anyone answers.","Charcoal / Cream","Suitable for early playtesting.","Slows the pace and deepens listening."
"WIL-07","Base Deck","Wildcard","Wildcard","Level 1","Groups","Medium","Choose the next category for someone else.","Charcoal / Cream","Suitable for early playtesting.","Adds interaction while keeping structure."
"WIL-08","Base Deck","Wildcard","Wildcard","Level 1","Speed","Low","Answer the next card in exactly one sentence.","Charcoal / Cream","Suitable for early playtesting.","Creates a light constraint."
"WIL-09","Base Deck","Wildcard","Wildcard","Level 1","All","Medium","Skip your answer and ask someone a follow-up instead.","Charcoal / Cream","Suitable for early playtesting.","Rewards curiosity over performance."
"WIL-10","Base Deck","Wildcard","Wildcard","Level 1","All","Low","Return to Icebreaker for one round.","Charcoal / Cream","Suitable for early playtesting.","Lets the group soften the intensity."
"WIL-11","Base Deck","Wildcard","Wildcard","Level 2","Groups","Medium","Pair up for the next answer, then share one thing you heard.","Charcoal / Cream","Suitable for early playtesting.","Creates smaller, safer exchanges."
"WIL-12","Base Deck","Wildcard","Wildcard","Level 2","Groups","Medium","Everyone names one feeling in the room.","Charcoal / Cream","Suitable for early playtesting.","Builds shared emotional awareness."
"WIL-13","Base Deck","Wildcard","Wildcard","Level 2","Groups","Medium","The person to your right asks one follow-up.","Charcoal / Cream","Suitable for early playtesting.","Makes deeper listening automatic."
"WIL-14","Base Deck","Wildcard","Wildcard","Level 2","All","Low","Draw two cards and choose the one you want to answer.","Charcoal / Cream","Suitable for early playtesting.","Protects consent and choice."
"WIL-15","Base Deck","Wildcard","Wildcard","Level 2","Groups","Medium","The group chooses: light, honest, or deep.","Charcoal / Cream","Suitable for early playtesting.","Lets the table tune the level together."
"WIL-16","Base Deck","Wildcard","Wildcard","Level 2","Groups","Medium","Pass this card to someone who has not spoken recently.","Charcoal / Cream","Suitable for early playtesting.","Opens space without forcing disclosure."
"WIL-17","Base Deck","Wildcard","Wildcard","Level 2","All","Low","Take a breath, then answer slower than usual.","Charcoal / Cream","Suitable for early playtesting.","Creates presence and pacing."
"WIL-18","Base Deck","Wildcard","Wildcard","Level 2","Deep Dive","High","After your answer, ask: what did you hear me say?","Charcoal / Cream","Best after trust has warmed up; passing is always allowed.","Encourages active listening."
"WIL-19","Base Deck","Wildcard","Wildcard","Level 2","Groups","Low","Everyone says one word they are taking from this round.","Charcoal / Cream","Suitable for early playtesting.","Creates a simple transition."
"WIL-20","Base Deck","Wildcard","Wildcard","Level 2","Groups","Medium","Close this round by naming one thing you appreciate.","Charcoal / Cream","Suitable for early playtesting.","Ends with warmth and recognition."
"RUL-01","Base Deck","Prompt / Rules","Prompt","Level 1","Rules","Low","Start with Icebreaker cards for one round.","Soft Cream / Charcoal","Suitable for early playtesting.","Guides gentle entry."
"RUL-02","Base Deck","Prompt / Rules","Prompt","Level 1","Rules","Low","Move deeper only when everyone agrees.","Soft Cream / Charcoal","Suitable for early playtesting.","Sets consent as a game norm."
"RUL-03","Base Deck","Prompt / Rules","Prompt","Level 1","Rules","Low","Anyone can pass, pause, or ask for a gentler card.","Soft Cream / Charcoal","Suitable for early playtesting.","Protects safety and autonomy."
"RUL-04","Base Deck","Prompt / Rules","Prompt","Level 1","Rules","Low","Ask one follow-up before drawing again.","Soft Cream / Charcoal","Suitable for early playtesting.","Encourages listening."
"RUL-05","Base Deck","Prompt / Rules","Prompt","Level 1","Rules","Low","End with each player sharing one takeaway.","Soft Cream / Charcoal","Suitable for early playtesting.","Creates closure."
"RUL-06","Base Deck","Prompt / Rules","Prompt","Level 1","Rules","Low","Choose Strangers, Deep Dive, Speed, or Paired Mode.","Soft Cream / Charcoal","Suitable for early playtesting.","Frames modular play."
"RUL-07","Base Deck","Prompt / Rules","Prompt","Level 1","Rules","Low","Before playing, choose a depth level: light, honest, or deep.","Soft Cream / Charcoal","Suitable for early playtesting.","Helps the group calibrate."
"RUL-08","Base Deck","Prompt / Rules","Prompt","Level 1","Rules","Low","What is shared here stays here, unless someone says otherwise.","Soft Cream / Charcoal","Suitable for early playtesting.","Creates trust around privacy."
"RUL-09","Base Deck","Prompt / Rules","Prompt","Level 1","Rules","Low","Use a timer when the group needs pace; ignore it when the story needs room.","Soft Cream / Charcoal","Suitable for early playtesting.","Supports different contexts."
"RUL-10","Base Deck","Prompt / Rules","Prompt","Level 1","Rules","Medium","After the final card, ask: what changed between us?","Soft Cream / Charcoal","Suitable for early playtesting.","Connects gameplay to the mission."
"COU-01","Couples Edition","Couples Edition","Expansion","Level 1","Love & Affection","Medium","What does home feel like with me?","Rose Clay / Deep Teal","Suitable for early playtesting.","Centers warmth and belonging."
"COU-02","Couples Edition","Couples Edition","Expansion","Level 1","Love & Affection","Medium","What do I do that makes you feel most loved?","Rose Clay / Deep Teal","Suitable for early playtesting.","Makes love languages concrete."
"COU-03","Couples Edition","Couples Edition","Expansion","Level 1","Love & Affection","Low","What is one small habit of mine you secretly appreciate?","Rose Clay / Deep Teal","Suitable for early playtesting.","Invites noticing."
"COU-04","Couples Edition","Couples Edition","Expansion","Level 1","Love & Affection","Medium","When do you feel closest to me?","Rose Clay / Deep Teal","Suitable for early playtesting.","Identifies closeness cues."
"COU-05","Couples Edition","Couples Edition","Expansion","Level 1","Love & Affection","Medium","What is a compliment from me that would land right now?","Rose Clay / Deep Teal","Suitable for early playtesting.","Creates immediate repair or affection."
"COU-06","Couples Edition","Couples Edition","Expansion","Level 1","Love & Affection","High","What is something about us that still feels tender in a good way?","Rose Clay / Deep Teal","Best after trust has warmed up; passing is always allowed.","Names softness in the relationship."
"COU-07","Couples Edition","Couples Edition","Expansion","Level 1","Love & Affection","Medium","What is one ordinary moment with me you want more of?","Rose Clay / Deep Teal","Suitable for early playtesting.","Turns intimacy into small actions."
"COU-08","Couples Edition","Couples Edition","Expansion","Level 1","Love & Affection","Medium","How do you know I am really listening?","Rose Clay / Deep Teal","Suitable for early playtesting.","Builds relational awareness."
"COU-09","Couples Edition","Couples Edition","Expansion","Level 1","Conflict & Growth","High","What conflict pattern are we slowly outgrowing?","Rose Clay / Deep Teal","Best after trust has warmed up; passing is always allowed.","Frames conflict as progress."
"COU-10","Couples Edition","Couples Edition","Expansion","Level 1","Conflict & Growth","High","What do you need from me when we disagree?","Rose Clay / Deep Teal","Best after trust has warmed up; passing is always allowed.","Practical conflict support."
"COU-11","Couples Edition","Couples Edition","Expansion","Level 2","Conflict & Growth","Medium","What is a repair attempt from me that works?","Rose Clay / Deep Teal","Suitable for early playtesting.","Builds a shared repair language."
"COU-12","Couples Edition","Couples Edition","Expansion","Level 2","Conflict & Growth","High","What do you wish I understood about your stress?","Rose Clay / Deep Teal","Best after trust has warmed up; passing is always allowed.","Invites empathy around pressure."
"COU-13","Couples Edition","Couples Edition","Expansion","Level 2","Conflict & Growth","High","What topic do we avoid, and what would make it safer?","Rose Clay / Deep Teal","Best after trust has warmed up; passing is always allowed.","Names avoidance with consent."
